Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"BroMances Through History",4/24/2015,20:00,4/24/2015,20:50,FALSE,"What is a 'bromance'? 'Guy Love'? Walk with us through cinema history as we highlight the evolution of the bromance. From Felix & Oscar, Wayne & Garth, through Harold & Kumar, we will highlight through film that it is ok to have a 'hetero-lifemate'.  Speakers include:Shannon Marshall, Maggie Maiville - Track: Film  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"BroMances Through History",4/24/2015,20:00,4/24/2015,20:50,FALSE,"What is a 'bromance'? 'Guy Love'? Walk with us through cinema history as we highlight the evolution of the bromance. From Felix & Oscar, Wayne & Garth, through Harold & Kumar, we will highlight through film that it is ok to have a 'hetero-lifemate'.  Speakers include:Shannon Marshall, Maggie Maiville - Track: Film  - Duration: 50 minutes - Audio/video needs: Projector, Sound System ","Portage Auditorium",PUBLIC
"So You Want to Yell at the Internet... Do it Through a Podcast!",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Think you're hilarious? Have opinions that the world HAS to hear? Have a hobby that you would like to share with others through internet audio? Then it's time to podcast! Learn how to yell at the internet with the cast of Demon Lobster and Drunk S&M! Mature language warning!  Speakers include:Shannon Marshall, Maggie Maiville, Jon Hickey, Scott Markwart, Steve Licavoli, Karen Quinn, Badger - Track: Tech  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"So You Want to Yell at the Internet... Do it Through a Podcast!",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Think you're hilarious? Have opinions that the world HAS to hear? Have a hobby that you would like to share with others through internet audio? Then it's time to podcast! Learn how to yell at the internet with the cast of Demon Lobster and Drunk S&M! Mature language warning!  Speakers include:Shannon Marshall, Maggie Maiville, Jon Hickey, Scott Markwart, Steve Licavoli, Karen Quinn, Badger - Track: Tech  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Windover",PUBLIC
"Rethinking Your Food Plate",4/25/2015,16:00,4/25/2015,16:50,FALSE,"A meal doesn't have to have meat to be tasty. Learn how to reduce your carbon footprint, cook for your annoying vegetarian friend, season with more than just salt, and participate in meatless Mondays.  Speakers include:Maggie Maiville, Shannon Marshall - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Rethinking Your Food Plate",4/25/2015,16:00,4/25/2015,16:50,FALSE,"A meal doesn't have to have meat to be tasty. Learn how to reduce your carbon footprint, cook for your annoying vegetarian friend, season with more than just salt, and participate in meatless Mondays.  Speakers include:Maggie Maiville, Shannon Marshall - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Cheese, Glorious Cheese",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Shannon and Maggie have based their entire relationship on cheese. Come sample their favorites and learn how to pair the stinkiest of Gorgonzolas to the sharpest of Cheddars.  Speakers include:Shannon Marshall, Maggie Maiville - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"Cheese, Glorious Cheese",4/25/2015,18:00,4/25/2015,18:50,FALSE,"Shannon and Maggie have based their entire relationship on cheese. Come sample their favorites and learn how to pair the stinkiest of Gorgonzolas to the sharpest of Cheddars.  Speakers include:Shannon Marshall, Maggie Maiville - Track: Food  - Duration: 50 minutes - Audio/video needs: none ","Food [Room 1017]",PUBLIC
"LIVE PODCAST: Getting Drunk with Shannon & Maggie",4/25/2015,21:00,4/25/2015,21:50,FALSE,"It's a three-peat! Shannon and Maggie are BFF’s and they like to drink, a lot. Join us as hilarity ensues while the ladies drink, eat cheese, and discuss the latest events in life and entertainment. Audience members can submit questions to be answered live during the recording to Shannon and Maggie or via Twitter at @ShannonsParty and @TheSexToyChick. Find us in the small room at the back of the restaurant!  Speakers include:Maggie Maiville, Shannon Marshall - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Restaurant",PUBLIC
"Sex Toys with S&M",4/25/2015,22:00,4/25/2015,22:50,FALSE,"Ever wonder what a 'silver bullet' is? Why was 'the rabbit intervention' such a popular episode on Sex & the City? If I don't use it, will I lose it? Shannon & Maggie (S&M) have been educating and empowering South East Michigan since 2007. Walk with them through the basics of introducing 'buzzing buddies' into the bedroom. (18+ please)  Speakers include:Maggie Maiville, Shannon Marshall - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
