Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Social Media for Writers",4/29/2016,18:00,4/29/2016,18:50,FALSE,"What social media trends are necessary for the writer building their web foot print? What are some important things to do, and what should you not do?  Speakers include:David Erik Nelson, Michael W. Lucas, Christopher Purrett, Alex Kourvo, Mark Oshiro, Mary Lynne Gibbs - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"When Being 'On' is What People Expect",4/29/2016,19:00,4/29/2016,19:50,FALSE,"A panel where Mark Oshiro (Mark Does Stuff) and Tanya DePass (I Need Diverse Games) speak about the performative aspects of their work, including the need to entertain while doing blind reads and reactions to media and for Tanya; while streaming on Twitch/YT Gaming.  Speakers include:Tanya DePass, Mark Oshiro - Track: Media, Life  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"Flirting for Geeks",4/29/2016,22:00,4/29/2016,22:50,FALSE,"Come learn how (and how not) to flirt from some of our local fandom's biggest flirts. Not only is it laugh-out-loud funny, it's an irreverent and honest reflection of love, sex, and fandom. Find ways to woo, methods for making friends, and how to have a good time without making others uncomfortable.  Speakers include:Nuri Gocay, Bob Waltenspiel, Dave Phillips, Scott Kennedy, Marie Staver, Jessica Roland, Mark Oshiro - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"Evoking Emotions, Provoking Readers",4/30/2016,12:00,4/30/2016,12:50,FALSE,"Creating authentic characters who seem to experience a full range of believable emotions is only half the equation in character-building.  How can we use character emotions to evoke real feelings in our readers? What other tricks are there?  Speakers include:Merrie Haskell, Cindy Spencer Pape, Ken MacGregor, Catherynne Valente, Mark Oshiro - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","EMC I",PUBLIC
"Creating Safer Spaces ",4/30/2016,15:00,4/30/2016,15:50,FALSE,"How do we define a 'safe space' in fandom and at conventions? How can we work to create safer spaces for all attendees at Penguicon and other conventions, and in our lives outside of fandom? Join a discussion with Penguicon staff (including the con chair) and our guests about how the Penguicon commuity can work toward greater safety, diversity and inclusivity to make this a space where all feel welcome.  Speakers include:Mark Oshiro, Tanya DePass, Mari Brighe, Scott Kennedy, Sal Palland - Track: Penguicon  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"Diversity in Geek Media",4/30/2016,18:00,4/30/2016,18:50,FALSE,"The push for more diversity has become a regular topic in the world of genre media and games, from calling out instances of white-washing and queer-baiting, to protesting the inevitable and often inexplicable deaths of queer characters and characters of color. It's an exhausting road, but is it actually leading to more diverse and inclusive media?  Speakers include:Tanya DePass, Ann Lemay, Lingjia Tang, Mark Oshiro, Catherynne Valente, Mari Brighe - Track: Media  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Reading/Signing: Tobias S. Buckell and Mark Oshiro",4/30/2016,20:50,4/30/2016,20:50,FALSE,"Join our attending authors in the Writers Block (317 & 318) for readings and signings!  Speakers include:Tobias S. Buckell, Mark Oshiro - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Writer's Block (313 & 315)",PUBLIC
"Mark Reads After Dark",4/30/2016,22:00,4/30/2016,22:50,FALSE,"Come and experience the best (worst) erotica that Chuck Tingle has to offer, read live and (totally unprepared for what's to come) by Mark Oshiro. This panel is for ages 18+ only. Minors are not allowed (with or without a parent).  Speakers include:Mark Oshiro - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Crowd- & Alternatively Funding Your Career",5/1/2016,11:00,5/1/2016,11:50,FALSE,"Our panelists discuss their experiences using entrepreneurship opportunities like Startup Weekend and Global Startup Battle or crowdfunding platforms like Kickstarter and Patreon, to supplement or make a living, or start a new project.  Speakers include:Tanya DePass, Mark Oshiro, Christina York, Rinoa Page - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Algonquin D",PUBLIC
"The Most Useful Tropes",5/1/2016,13:00,5/1/2016,13:50,FALSE,"Cliches in fantasy and science fiction are a big no-no... except when they arent. What are the most-used tropes in SFF? Why are they so overused? Are they always bad? Are there ways they can be twisted to say new things about the genre?  Speakers include:Emmy Jackson, Jackie Morgan, Scott Favre, Mark Oshiro - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin B/C",PUBLIC
